"Users","New_users","Avg_session","Pages_session","Sessions","P_rebound","Author","Section","Year","Month","Day","Days_count","Title_length","Subtitle_length","Content_length","anger_title","anticipation_title","disgust_title","fear_title","joy_title","sadness_title","surprise_title","trust_title","negative_title","positive_title","anger_subtitle","anticipation_subtitle","disgust_subtitle","fear_subtitle","joy_subtitle","sadness_subtitle","surprise_subtitle","trust_subtitle","negative_subtitle","positive_subtitle","anger_content","anticipation_content","disgust_content","fear_content","joy_content","sadness_content","surprise_content","trust_content","negative_content","positive_content","Topics"
172,153,765,1.96,193,70.47,"Enrique Castilla","actualidad",2023,"12",27,64,39,76,7603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,21,6,29,24,27,16,43,48,78,"Pedro Sánchez"
31,31,513,1.6,35,85.71,"Camila Pujalví","actualidad",2023,"10",8,144,69,64,2799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,10,12,28,1,24,8,7,42,11,NA
27,14,137,1.63,19,52.63,"Paco Rodríguez","actualidad",2019,"11",5,1577,72,0,4911,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,13,15,5,16,11,15,4,26,23,39,NA
73,72,585,1.82,78,73.08,"Luis Bustamante","actualidad",2019,"12",15,1537,49,167,6128,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,17,26,5,26,16,24,9,21,46,50,NA
26,20,322,1.34,29,72.41,"Gerardo Granda","actualidad",2020,"1",24,1497,51,128,3037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,8,4,5,0,22,7,27,NA
12,12,187,1.25,12,91.67,"Paco Rodríguez","actualidad",2020,"2",10,1480,114,0,3641,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,20,15,6,29,14,16,10,18,45,45,NA
17,14,21,1.16,19,84.21,"Paco Rodríguez","actualidad",2020,"2",18,1472,84,120,4025,1,1,1,0,2,1,0,3,3,3,0,1,0,0,1,0,0,2,0,2,19,14,15,27,11,23,11,30,35,31,NA
24,22,2,1.08,24,87.5,"Paco Rodríguez","actualidad",2020,"2",19,1471,86,127,3339,6,1,5,6,1,5,2,0,6,1,0,0,0,0,0,0,0,0,0,0,14,9,15,16,4,9,7,6,27,23,NA
12,11,655,2.17,12,91.67,"Javier de la Nava","actualidad",2020,"5",21,1379,43,183,4561,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,2,9,8,5,13,5,17,6,24,29,39,NA
16,15,43,1.2,20,85,"Héctor Herrera","actualidad",2022,"3",1,730,82,124,2239,2,0,1,2,0,1,0,1,3,0,0,0,0,0,0,1,0,0,0,1,12,6,5,18,2,13,9,5,22,10,NA
31,29,201,1.36,36,86.11,"Gerardo Granda","actualidad",2022,"4",5,695,64,89,6278,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,21,2,2,12,0,5,40,2,67,NA
26,25,55,1.23,26,73.08,"Marco Chavarría","actualidad",2023,"9",28,154,56,134,6052,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26,13,19,30,9,22,6,18,52,28,"Estados Unidos"
25,25,301,1.33,27,81.48,"Enrique Castilla","actualidad",2023,"9",24,158,97,94,3008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,9,4,5,10,10,4,12,11,31,NA
50,36,206,1.22,63,84.13,"Juanlu Martín","actualidad",2023,"12",11,80,92,203,1132,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,3,0,2,0,3,4,2,"Pedro Sánchez"
26,22,1,1.04,26,96.15,"Camila Pujalví","actualidad",2024,"1",13,47,85,120,1698,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,3,0,4,2,1,0,5,5,6,NA
31,26,1253,2.38,34,94.12,"Valeria López","actualidad",2023,"11",27,94,107,96,1874,2,0,2,2,0,2,0,0,3,0,0,1,0,0,2,1,0,2,1,2,4,2,5,9,3,7,1,8,13,8,NA
40,34,442,1.62,42,80.95,"Enrique Castilla","actualidad",2023,"10",4,148,67,126,2078,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,9,7,4,9,6,9,5,6,15,13,NA
14,5,0,1.4,10,100,"Martín García","actualidad",2024,"1",19,41,113,154,1834,0,0,0,0,1,0,0,0,2,0,0,1,0,0,1,0,0,2,0,1,1,3,1,1,4,1,2,15,3,10,NA
189,170,891,2.12,231,59.74,"Álvaro Olloqui","actualidad",2023,"12",18,73,53,128,8007,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,21,11,12,17,22,11,35,46,58,NA
